tweet_text,month_of_tweet
This beautiful lady testified this weekend that she has was healed of leukemia and liver disease…,5
"what the teams have done for the leukemia foundationis absolutely brilliant, they should all be so proud of themselves",6
"Give us a kiss, so here it is the first pic of my #worldsgreatestshave #leukemia…",3
Brisbane @ Leukemia Night the Light Walk Southbank,10
How pretty this is. Supporting leukemia Foundation #lightthenight . . . . . #leukemiafoundation…,10
Light the Night (lantern festival) . . . . . . #leukemiafoundation #leukemia #leukemiaawareness…,10
Leukemia Foundation..Light the Night #adelaide (@ Victoria Square/Tarndanyangga) pic.twitter.com/BMYiNGWbdu,10
WHEN YOU LOOK AT THE FEET OF CHEERLEADER BATTLING LEUKEMIA—TWO H EIGHTY ONE THOUSAND FIVE HUNDRED—I WALK THROUGH THE LATE NIGHT THOUGHTS—IF,9
#LIZQUENLIVEINAUSTRALIA COMPOSURE WE HAD THE BEST I—TOMORROW NIGHT AT THE FEET OF CHEERLEADER BATTLING LEUKEMIA—MY EX—ID—A WILD SQUILE AP…,9
Today I flew up to meet the amazing team at 'Leukemia Foundation Australia' and am humbled to…,6
Andrew Clough #worldsgreatestshave #leukemia #leukemiafoundation #charity #medicalresearch…,3
#leukemia #leukemiafoundation #worldsgreatestshave #sydney #Australia #martinplace @ Martin Place,3
Got the opportunity to represent The Bar during the Leukemia Foundation Light the Night. Always…,10
"Recap | AUNZ — Leukemia diagnosis prompts heartfelt letter to Turnbull on gay marriage - As a gay man, he had… pic.twitter.com/tdsiy6DxDj",8
Recap | AUNZ — Leukemia diagnosis prompts heartfelt letter to Turnbull on gay marriage pic.twitter.com/5lUjzr7SWk,8
"Recap | AUNZ — Leukemia diagnosis prompts heartfelt letter to Turnbull on gay marriage - As a gay man, he had… pic.twitter.com/mAGJPqq0Xm",8
Recap | AUNZ — Leukemia diagnosis prompts heartfelt letter to Turnbull on gay marriage pic.twitter.com/xHLjUBxCRN,8
"Recap | AUNZ — Leukemia diagnosis prompts heartfelt letter to Turnbull on gay marriage - As a gay man, he had… pic.twitter.com/VNbObR55kO",8
Recap | AUNZ — Leukemia diagnosis prompts heartfelt letter to Turnbull on gay marriage pic.twitter.com/0DDtXEnE7q,8
Stigmabase | AUNZ — Leukemia diagnosis prompts heartfelt letter to Turnbull on gay marriage,8
"Stigmabase | AUNZ — Leukemia diagnosis prompts heartfelt letter to Turnbull on gay marriage - As a gay man, he had…",8
ASIA | AUNZ — Leukemia diagnosis prompts heartfelt letter to Turnbull on gay marriage,8
#Egaylity — Leukemia diagnosis prompts heartfelt letter to Turnbull on gay marriage,8
#Egaylity — Leukemia diagnosis prompts heartfelt letter to Turnbull on gay marriage,8
Stigmabase | AUNZ — Leukemia diagnosis prompts heartfelt letter to Turnbull on gay marriage,8
"Stigmabase | AUNZ — Leukemia diagnosis prompts heartfelt letter to Turnbull on gay marriage - As a gay man, he had…",8
#Egaylity — Leukemia diagnosis prompts heartfelt letter to Turnbull on gay marriage,8
#Egaylity — Leukemia diagnosis prompts heartfelt letter to Turnbull on gay marriage,8
ASIA | AUNZ — Leukemia diagnosis prompts heartfelt letter to Turnbull on gay marriage,8
ASIA | AUNZ — Leukemia diagnosis prompts heartfelt letter to Turnbull on gay marriage,8
"ASIA | AUNZ — Leukemia diagnosis prompts heartfelt letter to Turnbull on gay marriage - As a gay man, he had…",8
"Stigmabase | AUNZ — Leukemia diagnosis prompts heartfelt letter to Turnbull on gay marriage - As a gay man, he had…",8
Stigmabase | AUNZ — Leukemia diagnosis prompts heartfelt letter to Turnbull on gay marriage,8
#Egaylity — Leukemia diagnosis prompts heartfelt letter to Turnbull on gay marriage,8
#Egaylity — Leukemia diagnosis prompts heartfelt letter to Turnbull on gay marriage,8
